0.045, 20.4492, 107.641, -2.30691, 6.39633, -51.0811, 141.89, 20.4469, 107.647, 1.10141, 0.0439732
0.046, 20.4469, 107.647, -2.35798, 6.5382, -51.0684, 141.873, 20.4445, 107.654, 1.10133, 0.0439238
0.047, 20.4446, 107.654, -2.40904, 6.68006, -51.0554, 141.855, 20.4421, 107.66, 1.10125, 0.0438733
0.048, 20.4422, 107.66, -2.46008, 6.82189, -51.0422, 141.837, 20.4397, 107.667, 1.10117, 0.0438218
0.049, 20.4397, 107.667, -2.51111, 6.96371, -51.0287, 141.819, 20.4372, 107.674, 1.10109, 0.0437691
0.05, 20.4372, 107.674, -2.56212, 7.10551, -51.0148, 141.8, 20.4346, 107.681, 1.10101, 0.0437153
0.051, 20.4346, 107.681, -2.61312, 7.24729, -51.0008, 141.781, 20.432, 107.689, 1.10093, 0.0436605
0.052, 20.432, 107.689, -2.66411, 7.38906, -50.9864, 141.761, 20.4293, 107.696, 1.10084, 0.0436045
0.053, 20.4293, 107.696, -2.71508, 7.5308, -50.9718, 141.742, 20.4266, 107.703, 1.10076, 0.0435475
0.054, 20.4266, 107.703, -2.76604, 7.67252, -50.9568, 141.721, 20.4238, 107.711, 1.10067, 0.0434893
0.055, 20.4239, 107.711, -2.81698, 7.81422, -50.9416, 141.701, 20.421, 107.719, 1.10058, 0.0434301
0.056, 20.421, 107.719, -2.8679, 7.9559, -50.9262, 141.68, 20.4181, 107.727, 1.10049, 0.0433698
0.057, 20.4182, 107.727, -2.91882, 8.09756, -50.9104, 141.658, 20.4152, 107.735, 1.10039, 0.0433084
0.058, 20.4153, 107.735, -2.96971, 8.23919, -50.8944, 141.636, 20.4123, 107.743, 1.1003, 0.0432458
0.059, 20.4123, 107.743, -3.02059, 8.38081, -50.8781, 141.614, 20.4092, 107.752, 1.1002, 0.0431822
0.06, 20.4093, 107.752, -3.07145, 8.5224, -50.8615, 141.592, 20.4062, 107.76, 1.1001, 0.0431175
0.061, 20.4062, 107.76, -3.12229, 8.66397, -50.8446, 141.569, 20.403, 107.769, 1.1, 0.0430517
0.062, 20.4031, 107.769, -3.17312, 8.80551, -50.8275, 141.545, 20.3999, 107.778, 1.0999, 0.0429849
0.063, 20.3999, 107.778, -3.22393, 8.94703, -50.8101, 141.522, 20.3966, 107.787, 1.09979, 0.0429169
0.064, 20.3967, 107.787, -3.27472, 9.08853, -50.7924, 141.498, 20.3934, 107.796, 1.09969, 0.0428478
0.065, 20.3934, 107.796, -3.3255, 9.23, -50.7744, 141.473, 20.39, 107.805, 1.09958, 0.0427777
0.066, 20.3901, 107.805, -3.37625, 9.37145, -50.7562, 141.448, 20.3867, 107.814, 1.09947, 0.0427064
0.067, 20.3867, 107.814, -3.42699, 9.51288, -50.7376, 141.423, 20.3832, 107.824, 1.09936, 0.0426341
